Question,Products_name
"Я организую вечеринку и хочу разнообразие пицц, без закусок и без десертов.","[""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Четыре сезона  Medium"",""Чоризо фреш Medium""]"
Ланчбокс с куриными кусочками,"[""Ланчбокс с куриными кусочками""]"
Пицца от шефа с барбекю Large,"[""Пицца от шефа с барбекю Large""]"
Мясо и овощи (кусочки) Large,"[""Мясо и овощи (кусочки) Large""]"
Можно 3 морса,"[""Морс Клюква 0.45"",""Морс Черная смородина 0.45""]"
два сладких десерта для любимой девушки,"[""Бруслетики"",""Маффин Три шоколада""]"
суп и чай,"[""Rich Tea Черный с лимоном 0.5"",""Томатный суп с митболами""]"
"суп, доддстер, пицца, десерт, салат и кофе","[""Додстер"",""Кофе Латте 0.4"",""Томатный суп с митболами"",""Салат Цезарь со смесью сыров (трекинг)"",""Сырная Small"",""Чизкейк Нью-Йорк (новая упаковка)""]"
додстер и пиццу с салями,"[""Додстер"",""Пепперони Фреш Medium""]"
просто чизкейк,"[""Чизкейк Нью-Йорк (новая упаковка) 100.0""]"
Готовая большая Пепперони по специальной цене,"[""Пепперони Large"",""Пепперони Large""]"
комбо из двух пицц,"[""Пепперони Фреш Medium"",""Чоризо фреш Medium""]"
попить не газировка пицца с грибами закуска и соус,"[""Rich Tea Зеленый с манго 0.5"",""Ветчина и грибы Small"",""Додстер"",""Сырный соус Додо""]"
Комбо от 789 ₽ с грибной пицце + ветчина,"[""Ветчина и грибы Small"",""Додстер"",""Барбекю соус Додо"",""Добрый Кола Big""]"
"закинь одну большую томатную маргусю, настроение красного цвета у меня, и чтоб без мяса, вегетерианская","[""Маргарита Large""]"
a large portion of cakes with lingonberries,"[""Бруслетики 270.0""]"
Сок Rich Вишня,"[""Сок Rich Вишня""]"
необычную пицца с ананасами и сладкое на десерт,"[""Гавайская с альфредо Small"",""Чизкейк Нью-Йорк (новая упаковка)""]"
"Хотелось бы заказать большую пиццу с обилием ветчины и сыра, чтобы насытить большую компанию.","[""Ветчина и сыр Large""]"
У меня большой заказ на пиццы.,"[""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
Пицца от шефа Large,"[""Пицца от шефа Large""]"
two drinks,"[""Rich Tea Зеленый с манго 0.5"",""Добрый Кола Small""]"
додстер с пастой и чизкейк,"[""Додстер"",""Паста Карбонара"",""Чизкейк Банановый с шоколадным печеньем""]"
Orange fresh 0.3,"[""Апельсиновый фреш 0.3""]"
"give pizza for two with a girl, there are two of us","[""Домашняя Medium""]"
Четыре сезона  Large,"[""Четыре сезона  Large""]"
dodster and pizza without garlic,"[""Додстер"",""Цыпленок барбекю Small""]"
"куриные кусочки и сырные палочки и два соуса, чесночный и сырный","[""Ланчбокс с куриными кусочками"",""Сырные палочки с чесноком"",""Сырный соус Додо"",""Чесночный соус ""]"
сладкий десерт и курица с соусом,"[""Ланчбокс с куриными кусочками"",""Сырный соус Додо"",""Фондан""]"
two pizzas for four,"[""Пепперони Фреш Large"",""Сырная Large""]"
two elements with the word barbecue,"[""Барбекю соус Додо"",""Цыпленок барбекю Large""]"
7 pizzas,"[""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
Пиццу Жульен и кока-кола,"[""Добрый Кола Small"",""Пицца Жюльен Small""]"
Кус Диабло (фудкорт),"[""Кус Диабло (фудкорт)""]"
Пиццу жюльен,"[""Пицца Жюльен Small""]"
"холодный чай, додстер, одну с ветчиной и грибами","[""Rich Tea Черный с лимоном 0.5"",""Ветчина и грибы Small"",""Супермясной Додстер"",""Сырный соус Додо""]"
"пицца с итальянскими травами и кофе, но не латте","[""Карбонара Small"",""Кофе Капучино 0.4""]"
Куриные кусочки,"[""Куриные кусочки""]"
